id,domain,type,user_id
1065,.richardli,generic,1
1066,.ricoh,generic,1
1067,.rightathome,generic,1
1068,.ril,generic,1
1069,.rio,generic,1
1070,.rip,generic,1
1071,.rmit,generic,1
1072,.ro,country-code,1
1073,.rocher,generic,1
1074,.rocks,generic,1
1075,.rodeo,generic,1
1076,.rogers,generic,1
1077,.room,generic,1
1078,.rs,country-code,1
1079,.rsvp,generic,1
1080,.ru,country-code,1
1081,.rugby,generic,1
1082,.ruhr,generic,1
1083,.run,generic,1
1084,.rw,country-code,1
1085,.rwe,generic,1
1086,.ryukyu,generic,1
1087,.sa,country-code,1
1088,.saarland,generic,1
1089,.safe,generic,1
1090,.safety,generic,1
1091,.sakura,generic,1
1092,.sale,generic,1
1093,.salon,generic,1
1094,.samsclub,generic,1
1095,.samsung,generic,1
1096,.sandvik,generic,1
1097,.sandvikcoromant,generic,1
1098,.sanofi,generic,1
1099,.sap,generic,1
1100,.sapo,generic,1
1101,.sarl,generic,1
1102,.sas,generic,1
1103,.save,generic,1
1104,.saxo,generic,1
1105,.sb,country-code,1
1106,.sbi,generic,1
1107,.sbs,generic,1
1108,.sc,country-code,1
1109,.sca,generic,1
1110,.scb,generic,1
1111,.schaeffler,generic,1
1112,.schmidt,generic,1
1113,.scholarships,generic,1
1114,.school,generic,1
1115,.schule,generic,1
1116,.schwarz,generic,1
1117,.science,generic,1
1118,.scjohnson,generic,1
1119,.scor,generic,1
1120,.scot,generic,1
1121,.sd,country-code,1
1122,.se,country-code,1
1123,.search,generic,1
1124,.seat,generic,1
1125,.secure,generic,1
1126,.security,generic,1
1127,.seek,generic,1
1128,.select,generic,1
1129,.sener,generic,1
1130,.services,generic,1
1131,.ses,generic,1
1132,.seven,generic,1
1133,.sew,generic,1
1134,.sex,generic,1
1135,.sexy,generic,1
1136,.sfr,generic,1
1137,.sg,country-code,1
1138,.sh,country-code,1
1139,.shangrila,generic,1
1140,.sharp,generic,1
1141,.shaw,generic,1
1142,.shell,generic,1
1143,.shia,generic,1
1144,.shiksha,generic,1
1145,.shoes,generic,1
1146,.shop,generic,1
1147,.shopping,generic,1
1148,.shouji,generic,1
1149,.show,generic,1
1150,.showtime,generic,1
1151,.shriram,generic,1
1152,.si,country-code,1
1153,.silk,generic,1
1154,.sina,generic,1
1155,.singles,generic,1
1156,.site,generic,1
1157,.sj,country-code,1
1158,.sk,country-code,1
1159,.ski,generic,1
1160,.skin,generic,1
1161,.sky,generic,1
1162,.skype,generic,1
1163,.sl,country-code,1
1164,.sling,generic,1
1165,.sm,country-code,1
1166,.smart,generic,1
1167,.smile,generic,1
1168,.sn,country-code,1
1169,.sncf,generic,1
1170,.so,country-code,1
1171,.soccer,generic,1
1172,.social,generic,1
1173,.softbank,generic,1
1174,.software,generic,1
1175,.sohu,generic,1
1176,.solar,generic,1
